client_code,product,push_notification
1,Карта для путешествий,"**Айгерим, ваши топ-категории — продукты, рестораны и путешествия**\n\nКредитная карта даст до 10% кешбэка в любимых категориях, которые вы выбираете каждый месяц, плюс 10% на онлайн-сервисы. Оформить карту."
2,Премиальная карта,"Данияр, премиальная карта для премиального клиента\n\nДанияр, вы уже оценили удобство тревел-карты. Премиальная карта даст больше: 4% кешбэк на рестораны, бесплатные снятия до 3 млн ₸ и базовый кешбэк 2-4%. Переходите на уровень выше.\n\nОформить премиальную карту"
3,Обмен валют,"Сабина, выгодный курс всегда под рукой!\n\nЗаметили, что большинство ваших операций в тенге, но иногда нужна валюта? В приложении можно обменять по выгодному курсу без комиссии в любое время. Плюс настроить авто-покупку по целевому курсу.\n\nНастроить обмен"
4,Карта для путешествий,"**Тимур, больше кешбэка с ваших трат!**\n\nВаши топ-категории — продукты, рестораны и такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
5,Премиальная карта,"**Камилла, время для премиального уровня!**\n\nКак премиальный клиент, вы заслуживаете больше выгод. Премиальная карта даст вам до 4% кешбэка, бесплатные переводы и снятие наличных до 3 млн ₸/мес по всему миру.\n\nОформить карту"
6,Карта для путешествий,"**Больше кешбэка с любимых трат**\n\nАян, ваши топ-категории — продукты, рестораны и такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
7,Депозит сберегательный,"**Руслан, время приумножить капитал**\n\nРуслан, как премиальный клиент вы умеете управлять финансами. Сберегательный депозит под 16,50% годовых поможет зафиксировать доходность на средства, которые сейчас не используете. Открыть вклад."
8,Премиальная карта,"**Мадина, время приумножить накопления**\n\nУ вас стабильные поступления на премиальную карту. Сберегательный депозит под 16,50% поможет получить максимальный доход с накоплений. Открыть вклад."
9,Депозит сберегательный,"**Арман, время приумножить капитал**\n\nКак премиальный клиент, вы умеете работать с крупными суммами. Сберегательный депозит под 16,50% — надёжный способ зафиксировать доходность на год без лишних хлопот.\n\nОткрыть депозит"
10,Премиальная карта,"**Карина, время приумножить накопления**\n\nЗаметили, что у вас стабильно остаются свободные средства на премиальной карте. Сберегательный депозит под 16,50% поможет получить максимальный доход с ваших накоплений.\n\nОткрыть вклад"
11,Депозит сберегательный,"**Бауржан, время приумножить накопления**\n\nБауржан, у вас стабильно высокие остатки на счету. Сберегательный депозит под 16,50% поможет получить максимальный доход с ваших средств. Оформить депозит."
12,Премиальная карта,"Жанар, поставьте цель на накопления 💰\n\nУ вас стабильные поступления на премиальную карту. Накопительный депозит под 15,50% поможет планомерно откладывать и получать больше дохода. Открыть вклад."
13,Кредитная карта,"**Алина, планируете поездки?**\n\nВ июле у вас было много трат на поездки и такси. Карта для путешествий вернёт 4% кешбэка с таких расходов. Особенно выгодно перед концертом Backstreet Boys 19 сентября!"
14,Кредитная карта,"Диас, в июле заметили много поездок и такси в ваших тратах. Карта для путешествий вернула бы 4% кешбэка с этих расходов плюс привилегии Visa Signature. Оформить карту?"
15,Кредитная карта,"Нурия, время приумножить накопления 💰\n\nУ вас есть свободные средства на кредитной карте. Накопительный депозит под 15,50% поможет планомерно откладывать и получать стабильный доход. Можно пополнять когда удобно.\n\nОткрыть вклад"
16,Кредитная карта,"**🌍 Время путешествовать выгодно!**\n\nЕрасыл, в июле у вас было много поездок. С картой для путешествий вы бы получали 4% кешбэк на такси, авиабилеты и отели. Оформить карту?"
17,Кредитная карта,"**✈️ Жанель, август был активным!**\n\nВ августе у вас много трат на поездки и такси. Карта для путешествий вернула бы 4% кешбэком с этих расходов. Плюс привилегии Visa Signature для отелей и авиабилетов.\n\nОформить карту"
18,Кредитная карта,"Санжар, в июне у вас было много поездок и такси. С картой для путешествий часть расходов вернулась бы 4% кешбэком. Хотите оформить?"
19,Обмен валют,"**Азамат, больше кешбэка с ваших трат!**\n\nВидим, что вы часто тратите на продукты, рестораны и такси. Кредитная карта даст до 10% кешбэка в ваших любимых категориях плюс 2 месяца без переплаты. Оформить карту."
20,Обмен валют,"**Анель, больше кешбэка с ваших трат!**\n\nВаши топ-категории — продукты, рестораны и такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
21,Обмен валют,"Павел, выгодный способ хранить валюты 💰\n\nВы активно пользуетесь обменом валют — видим, что работаете с разными валютами. Мультивалютный депозит под 14,50% позволит не только хранить USD/EUR/RUB, но и получать доход с возможностью пополнения и снятия.\n\nОткрыть депозит"
22,Обмен валют,"**Больше кешбэка за любимые покупки**\n\nАружан, вы часто тратите на продукты, рестораны и такси. Кредитная карта даст до 10% кешбэка в ваших любимых категориях плюс бонусы за онлайн-сервисы. Оформить карту"
23,Обмен валют,"**Кредитная карта для ваших трат**\n\nТемирлан, вы активно тратите на продукты, рестораны и такси. Кредитная карта даст до 10% кешбэка в любимых категориях плюс 10% на онлайн-сервисы. Оформить карту?"
24,Обмен валют,"**Больше кешбэка за любимые траты**\n\nГульмира, вы часто тратите на продукты, рестораны и такси. Кредитная карта даст до 10% кешбэка в ваших любимых категориях плюс 2 месяца без переплаты. Оформить карту."
25,Кредитная карта,"**Адиль, больше кешбэка с ваших трат!**\n\nВидим, что вы часто тратите на продукты, рестораны и такси. Кредитная карта даст до 10% кешбэка в любимых категориях плюс 10% на онлайн-сервисы. Оформить карту?"
26,Карта для путешествий,"**Маржан, планируете поездки на выходные?**\n\nВ августе заметили ваши частые перемещения по городу. Карта для путешествий вернёт 4% кешбэка с такси и поездок — часть трат окупится сама. Оформить карту."
27,Карта для путешествий,"**Нурсултан, готовы к путешествиям?**\n\nВ августе у вас было много поездок. С картой для путешествий 4% от трат на такси и авиабилеты вернулись бы кешбэком. Оформить карту."
28,Карта для путешествий,"**Алтынай, август был активным месяцем?**\n\nЗаметили ваши поездки в августе. Карта для путешествий вернула бы 4% кешбэка с такси и транспорта. Оформить карту и экономить на будущих поездках?"
29,Карта для путешествий,"**Сая, планируете поездки на выходные?**\n\nВ августе заметили ваши частые перемещения по городу. Карта для путешествий вернёт 4% кешбэка с такси, поездов и отелей — как раз к предстоящим выходным.\n\nОформить карту"
30,Карта для путешествий,"**Ербол, август был активным месяцем?**\n\nЗаметили ваши поездки в августе. Карта для путешествий вернула бы 4% кешбэком с такси и транспорта. Оформить карту."
31,Премиальная карта,"**Дамир, время для премиальных возможностей**\n\nДамир, вы уже доверяете нам свои сбережения в мультивалютном депозите. Премиальная карта даст до 4% кешбэка, бесплатные снятия до 3 млн ₸ и переводы без комиссий. Оформить карту"
32,Депозит сберегательный,"**Алия, увеличьте доходность на 2%**\n\nУ вас мультивалютный депозит с гибким доступом к средствам. Сберегательный депозит даёт 16,50% годовых вместо 14,50% — выше на 2%. Подходит для части средств, которые не планируете снимать."
33,Премиальная карта,"**Мерей, время для премиального уровня**\n\nУ вас мультивалютный депозит — видим, что умеете управлять финансами. Премиальная карта даст до 4% кешбэк, бесплатные переводы и снятие наличных по миру до 3 млн ₸/мес. Оформить карту."
34,Кредитная карта,"**Больше кешбэка с любимых трат**\n\nИнкар, ваши топ-категории — продукты, рестораны и такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
35,Премиальная карта,"**Самат, время премиальных привилегий**\n\nКак премиальный клиент с мультивалютным депозитом, вы цените качественные финансовые решения. Премиальная карта даст 2-4% кешбэк, бесплатные снятия до 3 млн ₸ и особые условия для ресторанов. Оформить карту."
36,Премиальная карта,"**Назым, время для премиальных возможностей!**\n\nУ вас мультивалютный депозит — отличное начало для управления финансами. Премиальная карта даст базовый кешбэк 2%, повышенный 4% в ресторанах и ювелирных, плюс бесплатные снятия по миру до 3 млн ₸. Оформить карту."
37,Премиальная карта,"**Гульнар, время для премиальных возможностей**\n\nВы умеете сохранять средства на депозите — теперь стоит получать больше от ежедневных трат. Премиальная карта даст до 4% кешбэка и бесплатные переводы по РК. Оформить карту."
38,Депозит сберегательный,"**Серик, ваш депозит скоро закроется?**\n\nКак премиальный клиент, вы можете продлить сберегательный вклад под 16,50% или открыть новый. Средства останутся под защитой и будут приносить максимальный доход.\n\nПродлить депозит"
